Formula,formula_embedding,Volume,Density,Formation_Energy_per_atom,Energy_Above_Hull,Band_Gap_eV
VHO3,"[0.2203, -0.3718, -0.4327, -1.0186, -0.0977, 1.3217, -0.0999, 0.503]",260.8288946,2.545223543,-1.917086507,0.069229663,0.6363
VHO3,"[0.2203, -0.3718, -0.4327, -1.0186, -0.0977, 1.3217, -0.0999, 0.503]",282.6625891,2.348622948,-1.688745391,0.297570779,0.3222
BaBiO3,"[-0.079, -0.0938, 0.0319, -0.8856, -0.4347, 0.6316, 0.7589, 0.2101]",194.2178691,6.742529469,-1.286472103,0.946954908,0.1011
NaClO3,"[0.0162, 0.1718, 0.3568, -1.1054, -0.1335, 1.0597, -0.0988, 0.498]",388.6106904,1.81929517,-0.603368508,0.510502555,0
SrTeO3,"[-0.304, -0.7513, -0.5039, -1.0024, -0.168, 1.3629, 0.2781, 0.422]",632.3339985,4.147340853,-2.349467932,0.031557383,3.174
NbHO3,"[0.4415, -0.5625, -0.4878, -0.844, -0.149, 1.5208, -0.1678, 0.1165]",239.4759759,3.936115639,2.357306119,4.86525071,0
NaNO3,"[-0.1235, -0.2686, -0.0138, -1.1599, -0.111, 0.9297, 0.3399, 0.967]",533.4132294,2.116737437,-1.353750147,0.009446822,2.5714
LiNbO3,"[0.4864, -0.5245, -0.8276, -0.9403, 0.1834, 1.1385, -0.0169, 0.3342]",559.9273657,4.384557292,-2.889461234,0.010056417,2.9621
TiNiO3,"[-0.5298, 0.0277, 0.06, -1.457, 0.2336, 0.6509, 0.443, 0.4509]",414.1901771,4.957154613,-2.576398636,0.02031903,2.3354
LiNbO3,"[0.4864, -0.5245, -0.8276, -0.9403, 0.1834, 1.1385, -0.0169, 0.3342]",778.319584,4.415984295,-2.892658409,0.006859243,3.0192
KNO3,"[0.1384, -0.2462, -0.1821, -0.847, -0.1325, 0.7059, 0.2084, 0.9395]",179.0882269,1.874895034,-1.410374209,0.011764388,3.0629
NaTaO3,"[0.2308, 0.1097, 0.0087, -1.0306, 0.3066, 0.7873, 0.1123, 0.3031]",583.5490824,5.735240892,-2.967343368,0.095648928,3.4067
KBiO3,"[0.302, 0.1915, -0.1525, -0.877, -0.1534, 0.5436, 0.3928, 0.154]",1606.24972,5.509511103,-1.541713024,0.030872052,0.1862
LiNbO3,"[0.4864, -0.5245, -0.8276, -0.9403, 0.1834, 1.1385, -0.0169, 0.3342]",669.898754,4.397739688,-2.891502366,0.008015286,2.9794
BaGeO3,"[0.0023, -0.5416, 0.199, -0.9322, -0.1698, 0.6576, 0.1526, 0.5341]",567.9852833,4.525060473,-2.244817205,0.451184006,1.4284
AgSbO3,"[0.1562, -0.1343, 0.0319, -1.0405, 0.1855, 0.7958, 0.2879, 0.7006]",857.910165,6.44836024,-1.367956171,0.076518499,0
LiNbO3,"[0.4864, -0.5245, -0.8276, -0.9403, 0.1834, 1.1385, -0.0169, 0.3342]",1485.471154,4.297012015,-2.784339947,0.115177704,0
LiNbO3,"[0.4864, -0.5245, -0.8276, -0.9403, 0.1834, 1.1385, -0.0169, 0.3342]",445.4087723,4.409493063,-2.888663548,0.010854103,3.0381
TiNiO3,"[-0.5298, 0.0277, 0.06, -1.457, 0.2336, 0.6509, 0.443, 0.4509]",300.537289,5.123835267,-2.578309968,0.018407698,2.2715
TiFeO3,"[-0.7264, -0.6292, 0.099, -1.1182, 0.3725, 0.8031, 0.1904, 1.0331]",868.1009408,4.643159837,-2.014351317,0.715361475,0
LaAlO3,"[0.1486, -0.272, 0.2486, -1.1602, 0.2957, 1.0669, 0.2133, 0.0573]",123.7070083,5.742031104,-3.494131784,0.228334779,3.5819
